Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Laminated,19,4.75,4.62,1.03,2.95,0.93,3.8,2.85,0.832,13.47,0.36
Annealed,12,1.31,1.96,0.67,2.65,0.05,1,0.43,0.719,3.69,0.36
Fully Tempered,8,4.96,3.97,1.25,1.29,7.5,4,3,0.67,7.7,0.93
Laminated,5,2.48,3.22,0.77,0.79,1.45,3.8,2.85,0.768,3.91,0.93
Heat-Strengthened,6,3.85,2.54,1.52,2.09,18.17,2,1.3,0.621,6.73,0.72
Annealed,19,2.01,4.52,0.44,2.11,0.02,1,0.43,0.747,2.82,0.31
Annealed,12,3.51,3.7,0.95,0.83,0.38,1,0.43,0.842,0.99,0.55
Annealed,19,2.31,4.22,0.55,2.87,0.06,1,0.43,0.795,3.61,0.72
Fully Tempered,6,1.23,3.41,0.36,2.91,0.18,4,3,0.548,21.24,0.55
Heat-Strengthened,5,3.06,3.38,0.91,2.05,8.31,2,1.3,0.663,6.18,0.43
Annealed,16,1.99,4.9,0.41,1.82,0.03,1,0.43,0.718,2.53,1
Laminated,19,1.05,4.98,0.21,1.17,0,3.8,2.85,0.712,6.24,0.93
Annealed,10,2.2,1.18,1.86,1.42,0.61,1,0.43,0.792,1.79,0.36
Laminated,4,4.44,3.05,1.46,2.41,93.75,3.8,2.85,0.509,17.99,0.31
Heat-Strengthened,5,2.09,2.41,0.87,2.2,2.72,2,1.3,0.765,5.75,0.43
Annealed,8,3.74,2.44,1.53,0.98,3.33,1,0.43,0.451,2.17,0.31
Laminated,12,1.66,4.13,0.4,2.49,0.05,3.8,2.85,0.807,11.72,0.43
Annealed,5,4.02,4.46,0.9,2.79,25.54,1,0.43,0.524,5.32,1
Laminated,10,2.17,4.02,0.54,0.95,0.1,3.8,2.85,0.754,4.79,0.64
Laminated,4,1.19,4.56,0.26,0.56,0.08,3.8,2.85,0.46,4.63,0.93
Heat-Strengthened,5,2.38,3.41,0.7,1.43,2.1,2,1.3,0.607,4.71,0.31
Annealed,12,3.51,4.28,0.82,1.05,0.42,1,0.43,0.742,1.42,0.72
Laminated,8,4.66,4.22,1.1,1.46,6.23,3.8,2.85,0.69,8.04,0.31
Fully Tempered,16,4.4,1.42,3.1,2.78,3.89,4,3,0.842,13.21,0.64
Annealed,8,2.91,4.81,0.6,2.17,1.23,1,0.43,0.368,5.9,0.93
Heat-Strengthened,6,3.15,2.64,1.19,2.4,8.1,2,1.3,0.494,9.72,0.83
Fully Tempered,16,1.7,2.69,0.63,1.57,0.02,4,3,0.705,8.91,1
Heat-Strengthened,10,1.8,1.97,0.91,2.25,0.23,2,1.3,0.834,5.4,0.31
Annealed,6,1.08,3.42,0.32,2.81,0.1,1,0.43,0.814,3.45,0.83
Heat-Strengthened,8,3.87,3,1.29,0.68,1.94,2,1.3,0.326,4.17,0.55
Laminated,12,4.73,1.07,4.42,1.31,7.7,3.8,2.85,0.841,5.92,0.36
Laminated,6,2.46,1.76,1.4,1.16,2.18,3.8,2.85,0.352,12.52,0.55
Heat-Strengthened,6,1.51,2.76,0.55,2.69,0.46,2,1.3,0.659,8.16,0.83
Annealed,4,3.64,4.63,0.79,2.27,26.28,1,0.43,0.425,5.34,0.64
Fully Tempered,16,2.9,4.93,0.59,2.14,0.15,4,3,0.778,11,0.64
Heat-Strengthened,4,2.16,3.99,0.54,1.83,3.05,2,1.3,0.806,4.54,0.64
Heat-Strengthened,4,4.8,3.27,1.47,2.26,112,2,1.3,0.519,8.71,0.55
Annealed,10,2.42,3.71,0.65,1.56,0.28,1,0.43,0.878,1.78,0.72
Annealed,19,2.16,3.58,0.6,1.42,0.02,1,0.43,0.809,1.76,0.93
Laminated,8,3.68,1.62,2.27,1.25,6,3.8,2.85,0.857,5.54,0.83
Heat-Strengthened,16,2.84,3.91,0.73,1.93,0.15,2,1.3,0.793,4.87,0.31
Fully Tempered,6,3.03,2.57,1.18,2.88,8.54,4,3,0.677,17.02,0.31
Heat-Strengthened,10,3.55,4.21,0.84,1.63,1.2,2,1.3,0.822,3.97,0.72
Fully Tempered,4,2.55,4.53,0.56,0.61,1.74,4,3,0.641,3.81,0.43
Heat-Strengthened,16,2.96,1.58,1.87,2.39,0.62,2,1.3,0.87,5.49,0.83
Annealed,19,1.17,1.37,0.85,2.77,0.01,1,0.43,0.828,3.35,0.72
Fully Tempered,6,1.39,2.54,0.55,0.74,0.1,4,3,0.519,5.7,0.43
Annealed,12,4.42,4.55,0.97,1.68,1.59,1,0.43,0.73,2.3,0.93
Heat-Strengthened,6,1.57,1.66,0.95,2.75,0.91,2,1.3,0.419,13.13,0.31
Fully Tempered,12,4.65,2.94,1.58,1.5,3,4,3,0.809,7.42,0.43
Fully Tempered,8,1.33,4.92,0.27,1.41,0.03,4,3,0.748,7.54,0.31
Annealed,8,3.12,4.38,0.71,0.9,0.74,1,0.43,0.512,1.76,0.83
Laminated,12,2.14,2.91,0.74,2.09,0.17,3.8,2.85,0.785,10.12,0.31
Laminated,6,3.74,2.61,1.43,3,20.34,3.8,2.85,0.776,14.69,0.36
Heat-Strengthened,4,2.32,4.57,0.51,1.36,2.63,2,1.3,0.301,9.04,0.93
Annealed,4,2.59,4.29,0.6,2.92,9.35,1,0.43,0.893,3.27,0.43
Heat-Strengthened,16,3.33,3.62,0.92,2.86,0.46,2,1.3,0.778,7.35,0.55
Laminated,10,4.48,4.18,1.07,0.79,1.49,3.8,2.85,0.837,3.59,0.83
Heat-Strengthened,12,2.81,3.59,0.78,2.76,0.54,2,1.3,0.869,6.35,0.36
Fully Tempered,4,1.31,2.84,0.46,2.7,0.85,4,3,0.884,12.22,0.64
Annealed,5,2.38,2.55,0.93,0.91,1.79,1,0.43,0.774,1.18,0.31
Laminated,6,4.45,3.21,1.39,2.69,29.72,3.8,2.85,0.634,16.12,0.72
Fully Tempered,4,4.83,4.73,1.02,2.42,85.01,4,3,0.885,10.94,0.55
Laminated,8,2.59,4.64,0.56,2.6,0.96,3.8,2.85,0.574,17.21,0.31
Heat-Strengthened,10,3.77,1.49,2.53,2.28,6.71,2,1.3,0.804,5.67,0.83
Laminated,10,1.25,4.85,0.26,0.66,0.01,3.8,2.85,0.9,2.79,0.64
Fully Tempered,4,2.41,3.81,0.63,2.08,5.62,4,3,0.71,11.72,0.55
Fully Tempered,6,4,3.19,1.25,2.15,15.61,4,3,0.736,11.68,0.55
Annealed,5,1.96,1.1,1.78,0.57,1.33,1,0.43,0.602,0.95,0.83
Fully Tempered,16,2.04,4.42,0.46,1.16,0.02,4,3,0.771,6.02,0.83
Laminated,5,4.76,4.14,1.15,0.99,19.19,3.8,2.85,0.587,6.41,1
Laminated,10,4.61,2.45,1.88,2.37,9.48,3.8,2.85,0.71,12.68,0.93
Annealed,16,1.04,1.51,0.69,2.59,0.01,1,0.43,0.815,3.18,0.43
Heat-Strengthened,6,4.42,4.45,0.99,2.1,16.29,2,1.3,0.868,4.84,0.93
Heat-Strengthened,4,2.4,2.76,0.87,1.49,5.47,2,1.3,0.59,5.05,0.83
Fully Tempered,6,2.61,2.23,1.17,2.25,4.24,4,3,0.32,28.12,0.72
Annealed,6,3.22,3.79,0.85,1.67,4.28,1,0.43,0.369,4.53,0.93
Annealed,6,3.5,2.97,1.18,0.69,3.15,1,0.43,0.745,0.93,0.43
Laminated,12,2.26,4.06,0.56,2.86,0.21,3.8,2.85,0.707,15.37,0.36
Annealed,16,1.59,2.06,0.77,2.58,0.04,1,0.43,0.724,3.56,0.83
Heat-Strengthened,4,4.91,2.25,2.18,2.51,219.93,2,1.3,0.498,10.08,0.93
Fully Tempered,8,4.08,3.89,1.05,2.13,5.79,4,3,0.33,25.82,0.55
Heat-Strengthened,10,4.03,1.35,2.99,1.94,8.23,2,1.3,0.809,4.8,0.83
Laminated,10,4.55,3.63,1.25,2.81,6.48,3.8,2.85,0.765,13.96,1
Heat-Strengthened,6,1.96,4.22,0.46,0.86,0.27,2,1.3,0.839,2.05,0.83
Fully Tempered,6,1.07,1.5,0.71,2.27,0.18,4,3,0.651,13.95,0.72
Annealed,5,3.69,1.57,2.35,1.82,37.33,1,0.43,0.698,2.61,0.36
Heat-Strengthened,16,4.67,3.31,1.41,0.9,0.62,2,1.3,0.842,2.14,0.55
Laminated,8,1.01,3.35,0.3,1.72,0.02,3.8,2.85,0.769,8.5,1
Fully Tempered,16,3.39,1.34,2.53,1.13,0.59,4,3,0.733,6.17,0.36
Annealed,6,1.85,3.93,0.47,1.37,0.37,1,0.43,0.878,1.56,0.93
Laminated,10,2.82,3.58,0.79,2.82,0.97,3.8,2.85,0.71,15.09,0.31
Laminated,12,2.37,4.79,0.49,1.44,0.11,3.8,2.85,0.875,6.25,1
Heat-Strengthened,8,1.72,2.78,0.62,2.01,0.24,2,1.3,0.649,6.19,0.83
Annealed,5,4.58,3.26,1.4,1.93,40.72,1,0.43,0.42,4.6,0.93
Heat-Strengthened,10,2.22,3.77,0.59,0.93,0.12,2,1.3,0.857,2.17,0.93
Annealed,5,4.9,4.3,1.14,0.78,16.35,1,0.43,0.603,1.29,0.31
Fully Tempered,16,4.47,1.02,4.38,0.51,1.06,4,3,0.843,2.42,0.83
Laminated,10,3.76,1.55,2.43,1.64,4.59,3.8,2.85,0.844,7.38,0.64
Heat-Strengthened,12,1.02,4.36,0.23,1.06,0,2,1.3,0.746,2.84,0.83
Fully Tempered,19,3.37,2.83,1.19,1.22,0.16,4,3,0.828,5.89,0.72
Heat-Strengthened,10,1.12,3.15,0.36,0.58,0.01,2,1.3,0.848,1.37,0.43
Laminated,19,1.31,2.61,0.5,1.13,0,3.8,2.85,0.869,4.94,0.83
Laminated,5,2.7,4.58,0.59,1.79,3.25,3.8,2.85,0.656,10.37,0.83
Heat-Strengthened,19,2.64,4.37,0.6,2.58,0.08,2,1.3,0.871,5.92,0.36
Heat-Strengthened,6,1.4,2.31,0.61,0.79,0.12,2,1.3,0.834,1.89,0.43
Heat-Strengthened,6,2.06,4.69,0.44,1.95,0.68,2,1.3,0.475,8.21,0.72
Fully Tempered,6,2.9,2.41,1.2,2.44,6.48,4,3,0.639,15.27,0.93
Fully Tempered,5,4.27,2.04,2.09,0.6,16.98,4,3,0.351,6.84,0.36
Fully Tempered,19,4.46,1.99,2.24,1.23,0.77,4,3,0.859,5.73,0.36
Laminated,12,1.51,4.93,0.31,2.98,0.04,3.8,2.85,0.802,14.12,0.83
Heat-Strengthened,6,2.61,3.89,0.67,1.23,1.33,2,1.3,0.641,3.84,0.36
Fully Tempered,16,4.87,4.46,1.09,2.09,1.26,4,3,0.796,10.5,0.55
Annealed,4,3.72,3.3,1.13,2.87,50.84,1,0.43,0.696,4.12,0.36
Annealed,19,1.63,4.9,0.33,1.43,0.01,1,0.43,0.885,1.62,0.55
Fully Tempered,6,1.77,3.64,0.49,2.08,0.51,4,3,0.518,16.06,0.55
Laminated,10,3.97,3.47,1.14,2,2.8,3.8,2.85,0.789,9.63,0.31
Laminated,19,2.67,4.87,0.55,1.81,0.05,3.8,2.85,0.71,9.69,1
Laminated,19,1.37,4.79,0.29,2.03,0,3.8,2.85,0.886,8.71,0.31
Fully Tempered,10,3.1,4.34,0.71,2.18,0.91,4,3,0.792,11.01,0.43
Heat-Strengthened,10,3.42,4.54,0.75,2.23,1.31,2,1.3,0.827,5.39,0.55
Heat-Strengthened,8,2.68,3.07,0.87,2.36,1.51,2,1.3,0.752,6.28,0.72
Laminated,16,2.73,2.12,1.29,2.53,0.32,3.8,2.85,0.846,11.36,0.83
Laminated,6,3.44,1.11,3.1,1.91,24.22,3.8,2.85,0.76,9.55,0.83
Annealed,6,1.62,1.57,1.03,2.49,0.99,1,0.43,0.724,3.44,0.43
Laminated,6,3.22,3.33,0.97,2.86,8.35,3.8,2.85,0.626,17.36,0.64
Heat-Strengthened,16,4.99,1.78,2.8,1.1,2.03,2,1.3,0.8,2.75,0.31
Heat-Strengthened,5,1.13,2.62,0.43,1.08,0.11,2,1.3,0.692,3.12,0.55
Laminated,12,1.7,1.55,1.1,1.78,0.11,3.8,2.85,0.845,8,0.64
Fully Tempered,19,4.18,1.95,2.14,1.84,0.91,4,3,0.796,9.25,0.55
Heat-Strengthened,4,2.55,3.09,0.83,2.12,8.86,2,1.3,0.581,7.3,0.43
Fully Tempered,16,3.37,3.79,0.89,1,0.16,4,3,0.842,4.75,0.83
Heat-Strengthened,12,1.84,3.08,0.6,0.86,0.04,2,1.3,0.841,2.05,0.55
Laminated,16,1.24,3.25,0.38,2.57,0.01,3.8,2.85,0.709,13.77,0.43
Laminated,19,4.04,3.85,1.05,2.8,0.55,3.8,2.85,0.886,12.01,0.72
Fully Tempered,4,3.24,3.99,0.81,1.55,13.07,4,3,0.466,13.3,0.31
Fully Tempered,12,4.51,1.72,2.62,2.88,8.7,4,3,0.777,14.83,0.72
Laminated,6,3.12,4.81,0.65,2.19,3.9,3.8,2.85,0.397,20.96,0.43
Heat-Strengthened,19,1.76,2.28,0.77,2.59,0.03,2,1.3,0.885,5.85,0.55
Heat-Strengthened,10,3.48,1.23,2.83,2.87,7.43,2,1.3,0.873,6.58,0.31
Laminated,16,3.48,3.93,0.89,1.92,0.34,3.8,2.85,0.833,8.76,0.72
Annealed,19,1.52,3.4,0.45,0.8,0,1,0.43,0.804,1,1
Heat-Strengthened,19,2.9,4.38,0.66,1.34,0.06,2,1.3,0.758,3.54,0.83
Annealed,5,2.7,1.5,1.8,1.61,9.91,1,0.43,0.399,4.04,0.72
Laminated,10,4.65,4.54,1.02,1.41,2.84,3.8,2.85,0.894,5.99,0.64
Annealed,19,3.65,3.75,0.97,1.4,0.19,1,0.43,0.893,1.57,0.93
Annealed,5,2.78,1.3,2.14,1.07,8.54,1,0.43,0.509,2.1,1
Annealed,12,1.83,2.48,0.74,0.95,0.05,1,0.43,0.863,1.1,0.83
Heat-Strengthened,5,1.57,4.36,0.36,2.03,0.44,2,1.3,0.454,8.94,0.72
Heat-Strengthened,12,2.55,2.46,1.04,0.51,0.1,2,1.3,0.744,1.37,0.31
Fully Tempered,6,3.19,4.81,0.66,1.4,2.73,4,3,0.628,8.92,0.83
Heat-Strengthened,6,3.73,4.63,0.81,0.98,3.71,2,1.3,0.343,5.71,0.31
Annealed,10,1.43,2.2,0.65,2.58,0.1,1,0.43,0.764,3.38,1
Heat-Strengthened,6,1.43,2.24,0.64,1.48,0.25,2,1.3,0.826,3.58,0.43
Heat-Strengthened,12,3.46,1.6,2.16,1.24,1.4,2,1.3,0.836,2.97,0.72
Laminated,4,4.54,1.82,2.49,2.68,212.2,3.8,2.85,0.709,14.36,0.43
Laminated,5,2.35,1.9,1.24,1.18,2.96,3.8,2.85,0.652,6.88,0.43
Laminated,19,3.91,4.19,0.93,1.53,0.24,3.8,2.85,0.861,6.75,0.64
Fully Tempered,4,1.68,4.75,0.35,1.23,0.63,4,3,0.59,8.34,0.93
Fully Tempered,12,2.52,1.78,1.42,2.07,0.53,4,3,0.857,9.66,0.72
Heat-Strengthened,4,4.24,2.68,1.58,0.68,27.82,2,1.3,0.665,2.05,0.31
Laminated,4,4.76,3.06,1.56,0.55,31.3,3.8,2.85,0.856,2.44,0.43
Fully Tempered,5,2.41,4.08,0.59,1.87,2.42,4,3,0.639,11.71,0.83
Fully Tempered,6,4.33,1.38,3.14,1.29,33.03,4,3,0.423,12.2,0.55
Heat-Strengthened,6,1.94,4.9,0.4,1.06,0.28,2,1.3,0.655,3.24,0.31
Annealed,19,2.45,3.69,0.66,1.28,0.04,1,0.43,0.746,1.72,0.64
Laminated,8,2.52,1.3,1.94,2.27,2.99,3.8,2.85,0.526,16.4,0.55
Fully Tempered,10,3.02,4.19,0.72,1.54,0.6,4,3,0.826,7.46,0.72
Fully Tempered,12,3.84,3.89,0.99,0.79,0.5,4,3,0.893,3.54,1
Heat-Strengthened,10,4.16,4.44,0.94,2.33,3.07,2,1.3,0.745,6.26,0.72
Laminated,5,3.54,3.21,1.1,2.09,15.98,3.8,2.85,0.875,9.08,0.36
Fully Tempered,12,2.96,2.65,1.12,1.33,0.44,4,3,0.861,6.18,0.31
Fully Tempered,4,2.95,2.99,0.99,2.99,23.12,4,3,0.42,28.48,0.31
Laminated,10,3.47,4.01,0.87,2.82,1.99,3.8,2.85,0.849,12.62,0.93
Annealed,12,2.95,3.83,0.77,2.52,0.56,1,0.43,0.715,3.52,0.31
Fully Tempered,12,1.21,1.54,0.79,2.26,0.04,4,3,0.821,11.01,0.55
Heat-Strengthened,5,1.78,1.24,1.44,0.92,1.16,2,1.3,0.737,2.5,0.55
Fully Tempered,8,4.1,3.87,1.06,0.86,2.4,4,3,0.815,4.22,0.55
Laminated,4,4.47,4.86,0.92,1.35,33.86,3.8,2.85,0.578,8.88,0.93
Fully Tempered,16,4.2,1.93,2.18,1.38,1.18,4,3,0.823,6.71,0.36
Annealed,12,2.63,1.31,2.01,0.76,0.35,1,0.43,0.775,0.98,0.93
Laminated,6,4.23,4.37,0.97,0.85,5.63,3.8,2.85,0.666,4.85,0.72
Heat-Strengthened,19,4.77,2.2,2.17,0.72,0.54,2,1.3,0.858,1.68,0.72
Laminated,19,1.14,3.68,0.31,1.31,0,3.8,2.85,0.87,5.72,0.55
Fully Tempered,4,4.96,1.38,3.59,0.93,138.35,4,3,0.837,4.44,0.64
Heat-Strengthened,10,3.63,1.49,2.44,2.9,7.34,2,1.3,0.833,6.96,0.64
Fully Tempered,10,4.7,2.74,1.72,0.93,3.6,4,3,0.849,4.38,0.31
Fully Tempered,16,4.39,2.39,1.84,2.13,1.75,4,3,0.839,10.15,0.36
Annealed,10,2.65,3.96,0.67,1.12,0.27,1,0.43,0.791,1.42,0.55
Fully Tempered,4,4.9,3.99,1.23,1.49,65.72,4,3,0.585,10.19,0.83
Laminated,8,2.34,3.77,0.62,0.78,0.24,3.8,2.85,0.459,6.46,0.43
Annealed,10,1.86,2.17,0.86,0.73,0.08,1,0.43,0.851,0.86,0.31
Heat-Strengthened,12,2.14,3.65,0.59,0.72,0.05,2,1.3,0.828,1.74,0.72
Heat-Strengthened,5,2.65,2.12,1.25,1.02,3.71,2,1.3,0.859,2.37,0.83
Laminated,8,2.92,1.76,1.66,2.7,4.73,3.8,2.85,0.764,13.43,0.83
Laminated,8,3.48,1.09,3.19,1.33,7.59,3.8,2.85,0.383,13.2,0.72
Heat-Strengthened,16,2.9,3.69,0.79,0.71,0.06,2,1.3,0.704,2.02,0.93
Heat-Strengthened,4,1.81,1.25,1.45,1.16,3.04,2,1.3,0.441,5.26,0.83
Heat-Strengthened,6,2.06,3.62,0.57,1.23,0.55,2,1.3,0.87,2.83,0.31
Fully Tempered,4,2.19,3.84,0.57,2.06,3.77,4,3,0.768,10.73,0.83
Fully Tempered,6,3.08,2.62,1.18,2.33,7.24,4,3,0.71,13.13,0.31
Fully Tempered,16,3.99,1.19,3.35,1.48,1.67,4,3,0.709,8.35,0.72
Laminated,12,4.23,1.52,2.78,1.98,5.24,3.8,2.85,0.887,8.48,0.72
Laminated,10,2.12,4.81,0.44,2.71,0.22,3.8,2.85,0.763,13.5,0.31
Laminated,16,4.95,3.15,1.57,0.89,0.9,3.8,2.85,0.792,4.27,1
Heat-Strengthened,16,4.14,2.57,1.61,2.94,1.78,2,1.3,0.807,7.29,0.64
Annealed,5,1.66,4.89,0.34,2.6,0.63,1,0.43,0.582,4.47,0.36
Heat-Strengthened,10,2.31,2.73,0.85,1.08,0.22,2,1.3,0.855,2.53,0.93
Laminated,4,1.57,2.87,0.55,1.71,1.11,3.8,2.85,0.837,7.76,0.83
Annealed,16,4.9,2.81,1.74,2.83,3.08,1,0.43,0.709,3.99,0.43
Fully Tempered,5,4.85,2.76,1.76,0.63,21.93,4,3,0.506,4.98,0.55
Laminated,8,1.91,3.7,0.52,2.33,0.32,3.8,2.85,0.58,15.27,0.31
Heat-Strengthened,4,1.56,4.38,0.36,1.97,0.81,2,1.3,0.613,6.43,0.64
Fully Tempered,10,1.14,4.89,0.23,2.84,0.02,4,3,0.778,14.6,0.55
Fully Tempered,4,2.08,5,0.42,2.32,2.65,4,3,0.875,10.61,0.83
Fully Tempered,16,1.73,1.29,1.34,2.83,0.09,4,3,0.824,13.74,0.43
Laminated,12,1.69,4.41,0.38,2.39,0.05,3.8,2.85,0.774,11.73,0.55
Laminated,4,3.18,3.81,0.83,2.06,16.88,3.8,2.85,0.395,19.82,1
Laminated,10,3.58,2.46,1.46,0.7,0.91,3.8,2.85,0.874,3.04,0.31
Laminated,8,2.28,2.36,0.97,2.28,1,3.8,2.85,0.702,12.34,0.31
Laminated,4,3.25,3.34,0.97,1.05,10.71,3.8,2.85,0.468,8.53,0.93
Fully Tempered,12,4.64,2.4,1.93,2.77,6.72,4,3,0.75,14.77,0.55
Annealed,12,1.66,3.94,0.42,2.5,0.05,1,0.43,0.803,3.11,1
Laminated,19,3.64,1.62,2.25,0.96,0.33,3.8,2.85,0.859,4.25,0.43
Annealed,4,2.15,3.54,0.61,0.85,1.57,1,0.43,0.773,1.1,0.93
Fully Tempered,4,1.61,4.15,0.39,1.87,0.92,4,3,0.734,10.19,0.36
Laminated,8,4.73,1.1,4.3,1.73,33.38,3.8,2.85,0.819,8.03,0.64
Fully Tempered,19,3.14,1.45,2.17,2.55,0.54,4,3,0.767,13.3,0.83
Fully Tempered,4,2.99,3.73,0.8,1.26,8.24,4,3,0.489,10.31,0.72
Fully Tempered,16,2.14,2.62,0.82,2.85,0.11,4,3,0.88,12.95,0.43
Annealed,19,4.07,3.8,1.07,1.29,0.27,1,0.43,0.755,1.71,0.72
Annealed,5,1.51,3.46,0.44,2.06,0.48,1,0.43,0.519,3.97,0.72
Annealed,12,1.79,1.53,1.17,1.88,0.14,1,0.43,0.762,2.47,0.36
Fully Tempered,12,1.16,3.76,0.31,1.89,0.01,4,3,0.834,9.06,0.83
Annealed,10,4.08,3.88,1.05,2.52,3.52,1,0.43,0.864,2.92,0.43
Heat-Strengthened,8,1.22,1.17,1.04,0.78,0.06,2,1.3,0.723,2.16,0.83
Fully Tempered,4,1.45,4.23,0.34,2.3,0.73,4,3,0.438,21,0.64
Heat-Strengthened,6,3.46,5,0.69,2.89,7.49,2,1.3,0.742,7.79,0.72
Laminated,16,1.61,2.79,0.58,1.25,0.01,3.8,2.85,0.768,6.18,0.93
Laminated,5,2.67,4.84,0.55,0.61,1,3.8,2.85,0.723,3.21,0.72
Heat-Strengthened,4,2.46,2.78,0.88,2.17,8.73,2,1.3,0.832,5.22,1
Heat-Strengthened,16,4.82,4.55,1.06,2.59,1.47,2,1.3,0.747,6.93,0.83
Fully Tempered,16,3.33,4.63,0.72,1.69,0.21,4,3,0.807,8.38,0.31
Fully Tempered,6,2.84,4.09,0.69,1.23,1.77,4,3,0.896,5.49,0.55
Annealed,12,3.17,2.3,1.38,0.88,0.44,1,0.43,0.898,0.98,0.83
Fully Tempered,19,1.1,3.42,0.32,1.37,0,4,3,0.732,7.49,0.31
Laminated,4,1.31,3.01,0.44,1.75,0.52,3.8,2.85,0.535,12.43,0.31
Heat-Strengthened,12,3.72,3.3,1.13,1.88,1.23,2,1.3,0.877,4.29,0.31
Heat-Strengthened,8,3.72,1.92,1.94,1.11,4.69,2,1.3,0.442,5.02,0.55
Laminated,12,1.97,4.06,0.49,1.11,0.05,3.8,2.85,0.713,5.92,0.31
Fully Tempered,19,4,2.06,1.94,1.52,0.6,4,3,0.875,6.95,0.64
Annealed,12,3.2,2.29,1.4,2.37,1.23,1,0.43,0.841,2.82,0.93
Heat-Strengthened,12,1.96,2.32,0.84,0.95,0.07,2,1.3,0.712,2.67,0.55
Fully Tempered,19,2.44,1.16,2.1,1.81,0.18,4,3,0.887,8.16,0.36
Fully Tempered,4,4.38,4.55,0.96,2.78,68.65,4,3,0.408,27.25,0.64
Laminated,16,1.71,2.93,0.58,1.27,0.02,3.8,2.85,0.805,6,0.83
Fully Tempered,16,4.86,3.76,1.29,0.6,0.42,4,3,0.745,3.22,1
Heat-Strengthened,19,1.18,2.83,0.42,2.48,0,2,1.3,0.894,5.55,0.93
Heat-Strengthened,16,1.32,4.14,0.32,0.64,0,2,1.3,0.729,1.76,0.36
Laminated,12,3,4.6,0.65,0.81,0.16,3.8,2.85,0.824,3.74,0.36
Laminated,6,4.15,3.71,1.12,0.72,5.21,3.8,2.85,0.584,4.68,0.64
Heat-Strengthened,6,1.06,2.42,0.44,0.62,0.03,2,1.3,0.569,2.18,0.43
Fully Tempered,5,2.19,3.05,0.72,2.25,2.65,4,3,0.618,14.56,0.64
Laminated,16,2.72,3.67,0.74,1.57,0.11,3.8,2.85,0.72,8.29,1
Annealed,8,4.9,4.64,1.06,1.74,8.25,1,0.43,0.333,5.23,0.55
Annealed,8,4.81,3.24,1.48,2.11,13.3,1,0.43,0.615,3.43,0.72
Heat-Strengthened,4,3.79,4.4,0.86,1.64,23.48,2,1.3,0.417,7.87,1
Heat-Strengthened,10,1.02,1.49,0.68,0.68,0.01,2,1.3,0.803,1.69,0.43
Annealed,12,2.45,4.4,0.56,2.45,0.23,1,0.43,0.712,3.44,1
Heat-Strengthened,8,2.79,2.31,1.21,2.48,2.48,2,1.3,0.772,6.42,0.72
Annealed,5,3.43,1.75,1.96,1.69,23.21,1,0.43,0.607,2.78,0.31
Annealed,5,3.62,3.65,0.99,2.88,21.18,1,0.43,0.393,7.33,0.72
Annealed,19,3.75,4.55,0.82,0.54,0.07,1,0.43,0.89,0.61,1
Laminated,12,3.45,2.3,1.5,1.53,1.07,3.8,2.85,0.861,6.75,1
Heat-Strengthened,6,1.08,1.22,0.89,1.46,0.15,2,1.3,0.462,6.32,0.55
Heat-Strengthened,5,4.13,1.92,2.15,1.23,32.37,2,1.3,0.333,7.39,0.43
Fully Tempered,19,1.01,1.73,0.58,2.84,0,4,3,0.889,12.78,0.36
Fully Tempered,4,1.22,3.1,0.39,0.77,0.17,4,3,0.639,4.82,0.72
Fully Tempered,6,4.14,4.24,0.98,1.31,8.21,4,3,0.78,6.72,0.55
Annealed,12,4.77,4.76,1,0.8,0.98,1,0.43,0.83,0.96,0.72
Laminated,19,2.78,2.18,1.28,2.73,0.21,3.8,2.85,0.707,14.67,1
Fully Tempered,4,3.51,3.12,1.12,0.98,14.55,4,3,0.425,9.22,0.55
Annealed,10,1.39,2.08,0.67,1.29,0.05,1,0.43,0.762,1.69,0.93
Fully Tempered,19,3.12,3.67,0.85,2.99,0.22,4,3,0.717,16.68,0.64
Fully Tempered,8,4.84,3.84,1.26,2.21,12.05,4,3,0.503,17.57,0.83
Annealed,5,1.45,4.73,0.31,0.97,0.14,1,0.43,0.408,2.38,0.93
Heat-Strengthened,12,3.95,2.82,1.4,1.42,1.39,2,1.3,0.801,3.55,0.43
Heat-Strengthened,4,1.29,1.99,0.65,1.03,0.44,2,1.3,0.708,2.91,0.31
Fully Tempered,6,1.65,3.3,0.5,1.46,0.3,4,3,0.497,11.75,0.72
Laminated,19,1.7,4.91,0.35,1.82,0.01,3.8,2.85,0.892,7.75,0.36
Laminated,8,3.52,2.07,1.7,2.12,6.67,3.8,2.85,0.309,26.07,0.31
Laminated,4,2.42,1.09,2.22,1.95,20.81,3.8,2.85,0.755,9.81,0.93
Fully Tempered,5,4.5,1.7,2.65,1.22,51.11,4,3,0.783,6.23,0.83
Annealed,10,4.87,1.68,2.9,1.75,12.72,1,0.43,0.843,2.08,0.93
Fully Tempered,16,3.94,2.55,1.55,2.82,1.41,4,3,0.837,13.48,0.72
Annealed,10,1.27,4,0.32,1.11,0.01,1,0.43,0.745,1.49,1
Heat-Strengthened,16,3.46,1.22,2.84,2.3,1.43,2,1.3,0.763,6.03,0.83
